,,,,,,
,image,asin,title,sale_price,rating,featured_image_source
https://www.amazon.com/LEGO-Ahsokas-Trooper-Building-Including/dp/B0BSRDZX4M/ref=sr_1_21?keywords=lego&qid=1697766954&sr=8-21,,B0BSRDZX4M,"LEGO Star Wars 332nd Ahsoka’s Clone Trooper Battle Pack 75359 Building Toy Set with 4 Star Wars Figures Including Clone Captain Vaughn, Star Wars Toy for Kids Ages 6-8 or Any Fan of The Clone Wars",15.99,4.6,https://m.media-amazon.com/images/I/81QsezD1g2L.jpg
https://www.amazon.com/LEGO-Snowmobile-Engineering-Construction-Birthday/dp/B0BBWJ929W/ref=sr_1_16?keywords=lego&qid=1697766954&sr=8-16,,B0BBWJ929W,"LEGO Technic Snow Groomer to Snowmobile 42148, 2in1 Vehicle Model Set, Engineering Toys, Winter Construction Toy for Kids, Boys, Girls 7+ Years Old, Birthday Gift Idea",8.99,4.8,https://m.media-amazon.com/images/I/81Fc34Q8TiL.jpg
https://www.amazon.com/LEGO-Astronaut-Spaceship-Building-Creative/dp/B0BLJ4FDT4/ref=sr_1_17?keywords=lego&qid=1697766954&sr=8-17&th=1,,B0BLJ4FDT4,"LEGO Creator 3 in 1 Space Shuttle 31134 Stocking Stuffer for Kids, Creative Gift Idea for Boys and Girls Ages 6 and Up, Build and Rebuild this Space Shuttle Toy into an Astronaut Figure or a Spaceship",8.99,4.8,https://m.media-amazon.com/images/I/71lhVag75AL.jpg
https://www.amazon.com/LEGO-Adorable-Dachshund-Labrador-Building/dp/B0BLJ2918Z/ref=sr_1_18?keywords=lego&qid=1697766954&sr=8-18&th=1,,B0BLJ2918Z,"LEGO Creator 3-in-1 Adorable Dogs Building Toy Set 31137, Small Toys for Dog Lovers, Featuring Dachshund, Beagle, Pug, Poodle, Husky, or Labrador Figures for Kids Ages 7 and Up",24,4.8,https://m.media-amazon.com/images/I/81aCFGBkJOL.jpg
https://www.amazon.com/LEGO-Electric-Sports-Minifigure-Building/dp/B0BBWKN7SJ/ref=sr_1_19?keywords=lego&qid=1697766954&sr=8-19,,B0BBWKN7SJ,"LEGO City Electric Sports Car 60383, Toy for 5 Plus Years Old Boys and Girls, Race Car for Kids Set with Racing Driver Minifigure, Building Toys",6.99,4.8,https://m.media-amazon.com/images/I/81sHnjZFDyL.jpg
https://www.amazon.com/LEGO-Element-Launcher-Firefighter-Minifigure/dp/B0BBXBTC5X/ref=sr_1_20?keywords=lego&qid=1697766954&sr=8-20,,B0BBXBTC5X,"LEGO City 4x4 Fire Engine Rescue Truck 60393, Toy for 5 Plus Year Old Boys & Girls, Set with Water Element Launcher, Firefighter Minifigure and Cat Figure",5.99,4.8,https://m.media-amazon.com/images/I/810sMFjW8GL.jpg
https://www.amazon.com/LEGO-Dollhouse-Building-DreamWorks-Animation/dp/B0BSRDLYWD/ref=sr_1_22?crid=3ELRBX2FB9CTS&keywords=lego&qid=1697777410&sprefix=lego%2Caps%2C180&sr=8-22,,B0BSRDLYWD,"LEGO Gabby's Dollhouse Bakey with Cakey Fun 10785 Building Toy Set for Fans of The DreamWorks Animation Series, Pretend Play Kitchen, Oven and Giant Cupcake to Decorate, Gift for 4+ Year Olds",7.99,4.6,https://m.media-amazon.com/images/I/81m4QuBT-PL.jpg
https://www.amazon.com/LEGO-Wildflower-Artificial-Anniversary-Collection/dp/B0BGQL5B3Q/ref=sr_1_23?crid=3ELRBX2FB9CTS&keywords=lego&qid=1697777410&sprefix=lego%2Caps%2C180&sr=8-23,,B0BGQL5B3Q,"LEGO Icons Wildflower Bouquet 10313 Set - Artificial Flowers with Poppies and Lavender, Adult Collection, Unique Home Décor, Botanical Piece for Wife, Spring Flowers",47.99,4.9,https://m.media-amazon.com/images/I/818UxJzyshL.jpg
https://amazon.com/LEGO-Technic-Monster-Digger-Building/dp/B08HVX5XSK/ref=sr_1_24?crid=3ELRBX2FB9CTS&keywords=lego&qid=1697777410&sprefix=lego%2Caps%2C180&sr=8-24,,B08HVX5XSK,"LEGO Technic Monster Jam Grave Digger 42118 Set - Truck Toy to Off-Road Buggy, Pull-Back Motor, Vehicle Building and Learning Playset, Gift for Grandchildren or Any Monster Truck Fans Ages 7 and Up",19.99,4.8,https://m.media-amazon.com/images/I/81IzwKpqayL.jpg
https://www.amazon.com/LEGO-Starship-Microfighter-Adjustable-Mandalorian/dp/B0BBXX1C6S/ref=sr_1_25?crid=3ELRBX2FB9CTS&keywords=lego&qid=1697777410&sprefix=lego%2Caps%2C180&sr=8-25,,B0BBXX1C6S,"LEGO Star Wars Boba Fett's Starship Microfighter 75344, Building Toy Vehicle with Adjustable Wings and Flick Shooters, The Mandalorian Set for Kids",6.99,4.8,https://m.media-amazon.com/images/I/81el7jD8RSL.jpg
